Max. Equipment Designation,Absolute ceiling,Best glide ratio,Cruising altitude,Cruising speed,Endurance,Fuel with max payload,Gross wing area,"Ground clearance, fuselage","Height, alternate configuration","Height, fuselage","Height, overall",Landing run,"Length, alternate configuration","Length, fuselage","Length, overall",Loitering speed,Max T-O weight,Max certified altitude,Max fuel weight,Max launch weight,Max level speed,Max operating speed,Max payload,Never-exceed speed,Operating altitude,"Operating weight, empty",Payload with max fuel,Propeller diameter,Radius of operation,Range,Rate of climb,Service ceiling,Stalling speed,T-O run,T-O speed,Tailplane span,Weapons bay volume,Weight empty,"Weight empty, equipped","Width, fuselage","Width, overall",Wing aspect ratio,Wing span,g limits
Tarsis 25,,,,"54 kt (100 km/h, 62.1 mph) 54 kt (100 km/h, 62.1 mph)",8 hr 0 min,,,,,,890 mm (2 ft 11 in) 890 mm (2 ft 11 in),,,,2.5 m (8 ft 2 1/2 in) 2.5 m (8 ft 2 1/2 in),,25 kg (55 lb),,,,,,5 kg (11 lb),,,,,,,"40.7 km (22 nm, 25.3 mi) (typical) 40.7 km (22 nm, 25.3 mi) (typical) 150 km (81 nm, 93.2 mi) (max) 150 km (81 nm, 93.2 mi) (max)",,"4,000 m (13,125 ft) (MSL)",,,,,,,,,,,4 m (13 ft 1 1/2 in) 4 m (13 ft 1 1/2 in),
The Miss Traktor,,,,"59 kt (109 km/h, 67.9 mph) 59 kt (109 km/h, 67.9 mph)",1 hr 0 min,,,,,,780 mm (2 ft 6 3/4 in) 780 mm (2 ft 6 3/4 in),,11 m (36 ft 1 in) (with sleeve (with flare)),,1.9 m (6 ft 2 3/4 in) 1.9 m (6 ft 2 3/4 in),"20.5 kt (38 km/h, 23.6 mph) (min) 33 kt (61.1 km/h, 38 mph) (max)",14.5 kg (32 lb),,,,,,,,,,,,,"4.99 km (2.7 nm, 3.1 mi) (mission) 4.99 km (2.7 nm, 3.1 mi) (mission) 10 km (5.4 nm, 6.21 mi) 10 km (5.4 nm, 6.21 mi)",,"2,000 m (6,560 ft)",,,,,,,,,,,2.84 m (9 ft 3 3/4 in) 2.84 m (9 ft 3 3/4 in),
Tracker 120,,,,"32.9 kt (61 km/h, 37.9 mph) (minimum) 32.9 kt (61 km/h, 37.9 mph) (minimum) 48.6 kt (90 km/h, 55.9 mph) (maximum) 48.6 kt (90 km/h, 55.9 mph) (maximum) 32.9 kt (61 km/h, 37.9 mph) (minimum) 32.9 kt (61 km/h, 37.9 mph) (minimum) 48.6 kt (90 km/h, 55.9 mph) (maximum) 48.6 kt (90 km/h, 55.9 mph) (maximum)","1 hr 30 min (minimum, day or night configuration) 1 hr 30 min (minimum, day or night configuration)",,,,,,,,,,1.54 m (5 ft 3/4 in) 1.54 m (5 ft 3/4 in) 1.54 m (5 ft 3/4 in) 1.54 m (5 ft 3/4 in),,8.7 kg (19 lb) 8.7 kg (19 lb),,,,,"54 kt (100 km/h, 62.1 mph) 54 kt (100 km/h, 62.1 mph)",1.1 kg (2 lb 6 3/4 oz) 1.1 kg (2 lb 6 3/4 oz),,"100 m (328 ft) (typical, above ground level) 300 m (984 ft) (Max) 100 m (328 ft) (typical, above ground level) 300 m (984 ft) (Max)",,,,,"25 km (13.5 nm, 15.5 mi) 25 km (13.5 nm, 15.5 mi) 25 km (13.5 nm, 15.5 mi) 25 km (13.5 nm, 15.5 mi)",,"2,500 m (8,200 ft) (AMSL) 2,500 m (8,200 ft) (AMSL)",,,,,,,,,,,3.3 m (10 ft 10 in) 3.3 m (10 ft 10 in) 3.3 m (10 ft 10 in) 3.3 m (10 ft 10 in),
Trinity F90+,,,,"33 kt (61.1 km/h, 38 mph) 33 kt (61.1 km/h, 38 mph)",1 hr 0 min (typical) 1 hr 30 min (unlocked condition),,,,,,,,,,1.48  m (4 ft 10 1/4 in) 1.48  m (4 ft 10 1/4 in),,5 kg (11 lb),,,,,,700 g (1 lb 8 3/4 oz),,,,,,,"7.41 km (4  nm, 4.6 mi) (maximum, command and control) 7.41 km (4  nm, 4.6 mi) (maximum, command and control)",,"4,500 m (14,765 ft)",,,,,,,,,,,2.394 m (7 ft 10 1/4 in) 2.394 m (7 ft 10 1/4 in),
Trinity Pro,,,,"33 kt (61.1 km/h, 38 mph)",1 hr 0 min (typical) 1 hr 30 min (unlocked condition),,,,,,,,,,1.48  m (4 ft 10 1/4 in),,5.75 kg (13 lb),,,,,,1 kg (2 lb 3 1/4 oz),,,,,,"100 km (54 nm, 62.1 mi)","7.41 km (4  nm, 4.6 mi) (maximum, command and control)",,"5,500 m (18,045 ft)",,,,,,,,,,,2.394 m (7 ft 10 1/4 in),
Trinity Tactical,,,,"33 kt (61.1 km/h, 38 mph)",1 hr 0 min (typical) 1 hr 30 min (unlocked condition),,,,,,,,,,1.48  m (4 ft 10 1/4 in),,5.75 kg (13 lb),,,,,,,,,,,,"100 km (54 nm, 62.1 mi)","7.41 km (4  nm, 4.6 mi) (maximum, command and control)",,"5,500 m (18,045 ft)",,,,,,,,,,,2.394 m (7 ft 10 1/4 in),
Tron F90+,,,,"35 kt (64.8 km/h, 40.3 mph) 35 kt (64.8 km/h, 40.3 mph)",1 hr 0 min (typical) 1 hr 30 min (maximum),,,,,,,,,,,,13.5 kg (30 lb),,,,,,2  kg (4 lb 6 1/2 oz) (maximum),,,,,,,"100 km (54 nm, 62.1 mi) (1,500 hectares in area) 100 km (54 nm, 62.1 mi) (1,500 hectares in area)",,,,,,,,,,,,,3.5  m (11 ft 5 3/4 in) 3.5  m (11 ft 5 3/4 in),
Tucan,,,,"37.8 kt (70 km/h, 43.5 mph) 37.8 kt (70 km/h, 43.5 mph)",1 hr 30 min,,,,,,,,,,1.44 m (4 ft 8 3/4 in) 1.44 m (4 ft 8 3/4 in),,5 kg (11 lb),,,,"154 kt (285 km/h, 177 mph)",,750 g (1 lb 10 1/2 oz),,,,,,,"25 km (13.5 nm, 15.5 mi) 25 km (13.5 nm, 15.5 mi)",,"1,500 m (4,920 ft) (Minimum; AMSL) 2,500 m (8,200 ft) (maximum; AMSL)",,,,,,,,,,,2.74 m (8 ft 11 3/4 in) 2.74 m (8 ft 11 3/4 in),
UA-GAMMA,,,,"38 kt (70.4 km/h, 43.7 mph) 38 kt (70.4 km/h, 43.7 mph) 38 kt (70.4 km/h, 43.7 mph) 38 kt (70.4 km/h, 43.7 mph)",6 hr 6 hr,,,,,,,,,,1.80 m (5 ft 10 3/4 in) 1.80 m (5 ft 10 3/4 in) 1.80 m (5 ft 10 3/4 in) 1.80 m (5 ft 10 3/4 in),,16 kg (35 lb) 16 kg (35 lb),,,,"86 kt (159 km/h, 99 mph) 86 kt (159 km/h, 99 mph) 86 kt (159 km/h, 99 mph) 86 kt (159 km/h, 99 mph)",,6 kg (13 lb) 6 kg (13 lb),,"1,000 m (3,280 ft) (cruising, typical) 2,000 m (6,560 ft) (Max; cruising) 1,000 m (3,280 ft) (cruising, typical) 2,000 m (6,560 ft) (Max; cruising)",,,,,"79.6 km (43 nm, 49.5 mi) (video) 79.6 km (43 nm, 49.5 mi) (video) 200 km (108 nm, 124 mi) (maximum) 200 km (108 nm, 124 mi) (maximum) 79.6 km (43 nm, 49.5 mi) (video) 79.6 km (43 nm, 49.5 mi) (video) 200 km (108 nm, 124 mi) (maximum) 200 km (108 nm, 124 mi) (maximum)",,"3,000 m (9,845 ft) 3,000 m (9,845 ft)",,,,,,,,,,,2.98 m (9 ft 9 1/4 in) 2.98 m (9 ft 9 1/4 in) 2.98 m (9 ft 9 1/4 in) 2.98 m (9 ft 9 1/4 in),
Vector,,,,"39 kt (72.2 km/h, 44.9 mph) (max) 39 kt (72.2 km/h, 44.9 mph) (max)",3 hr 0 min (max),,,,,,,,,,1.63 m (5 ft 4 1/4 in) 1.63 m (5 ft 4 1/4 in),,8.5 kg (19 lb),,,,,,,,,,,,,"35 km (18.89 nm, 21.7 mi) (Datalink) 35 km (18.89 nm, 21.7 mi) (Datalink) 180 km (97.19 nm, 112 mi) (flight range @ 17 m/s cruise speed) 180 km (97.19 nm, 112 mi) (flight range @ 17 m/s cruise speed)",,,,,,,,,,,,,2.8 m (9 ft 2 1/4 in) 2.8 m (9 ft 2 1/4 in),
Veloce 15,,,,,3 hr 0 min (max),,,,,,,,,,,,17 kg (37 lb),,,,,"40 kt (74.1 km/h, 46 mph) (max)",,,"610 m (2,000 ft) (max)",,,,,"14.8 km (8 nm, 9.21 mi) (Datalink) 14.8 km (8 nm, 9.21 mi) (Datalink)",,,,,,,,,,,,,3.7 m (12 ft 1 3/4 in) 3.7 m (12 ft 1 3/4 in),
Vrabac,,,,"32.9 kt (61 km/h, 37.9 mph) 32.9 kt (61 km/h, 37.9 mph)",1 hr (typical),,0.75 m² (8.07 sq ft),,,,,,,,1.94 m (6 ft 4 1/2 in) 1.94 m (6 ft 4 1/2 in),"29.7 kt (55 km/h, 34.2 mph)",9.0 kg (20 lb),,,,"64.8 kt (120 km/h, 74.6 mph) 64.8 kt (120 km/h, 74.6 mph)",,1.5 kg (3 lb 5 oz),,"300 m (984 ft) (typical) 500 m (1,640 ft) (Max; maximum)",,,,"10 km (5.4 nm, 6.21 mi) 10 km (5.4 nm, 6.21 mi)",,150 m/min (492 ft/min),,"18.9 kt (35 km/h, 21.7 mph)",,,,,5.5 kg (12 lb),,,,,2.80 m (9 ft 2 1/4 in) 2.80 m (9 ft 2 1/4 in),
WARMATE,,,,"27 kt (50 km/h, 31.1 mph) (IAS) 27 kt (50 km/h, 31.1 mph) (IAS) 27 kt (50 km/h, 31.1 mph) (IAS) 27 kt (50 km/h, 31.1 mph) (IAS)",0 hr 50 min (flight/loitering time) 0 hr 50 min (flight/loitering time),,,,,,,,,,1.17 m (3 ft 10 in) 1.17 m (3 ft 10 in) 1.17 m (3 ft 10 in) 1.17 m (3 ft 10 in),,5.3 kg (12 lb) 5.3 kg (12 lb),,,,"81 kt (150 km/h, 93.2 mph) (IAS) 81 kt (150 km/h, 93.2 mph) (IAS) 81 kt (150 km/h, 93.2 mph) (IAS) 81 kt (150 km/h, 93.2 mph) (IAS)",,1.4 kg (3 lb 1 1/2 oz) 1.4 kg (3 lb 1 1/2 oz),,"100 m (328 ft) (typical, above ground level) 500 m (1,640 ft) (max; above ground level) 100 m (328 ft) (typical, above ground level) 500 m (1,640 ft) (max; above ground level)",,,,"12 km (6.5 nm, 7.48 mi) (datalink; range) 12 km (6.5 nm, 7.48 mi) (datalink; range) 12 km (6.5 nm, 7.48 mi) (datalink; range) 12 km (6.5 nm, 7.48 mi) (datalink; range)",,,,,,,,,,,,,,1.59 m (5 ft 2 1/2 in) (wing surfaces fully deployed) 1.59 m (5 ft 2 1/2 in) (wing surfaces fully deployed) 1.59 m (5 ft 2 1/2 in) (wing surfaces fully deployed) 1.59 m (5 ft 2 1/2 in) (wing surfaces fully deployed),
X-Chimera,,,,"44.7 kt (82.8 km/h, 51.4 mph) 44.7 kt (82.8 km/h, 51.4 mph)","2 hr 0 min (carrying LIDAR of 1,350 m range) 3 hr 30 min (minimum, EO payload) 4 hr 30 min (with aerial mapping camera payload or max with EO payload)",,,,,,660 mm (2 ft 2 in) 660 mm (2 ft 2 in),,,,1.63 m (5 ft 4 1/4 in) 1.63 m (5 ft 4 1/4 in),,25 kg (55 lb),,,,,,6 kg (13 lb),,"4,500 m (14,765 ft) (maximum T-O and landing altitude)",,,,,"50 km (27 nm, 31.1 mi) (maximum payload) 50 km (27 nm, 31.1 mi) (maximum payload) 100 km (54 nm, 62.1 mi) 100 km (54 nm, 62.1 mi)",,"6,000 m (19,685 ft)",,,,,,,,,4.5 m (14 ft 9 1/4 in) 4.5 m (14 ft 9 1/4 in),,,
XC-25,,,,"44.7 kt (82.8 km/h, 51.4 mph) 44.7 kt (82.8 km/h, 51.4 mph)",6 hr 0 min (maximum),,,,,,660 mm (2 ft 2 in) 660 mm (2 ft 2 in),,,,1.63 m (5 ft 4 1/4 in) 1.63 m (5 ft 4 1/4 in),,25 kg (55 lb),,,,,,6 kg (13 lb),,"4,500 m (14,765 ft) (maximum T-O and landing altitude)",,,,,"50 km (27 nm, 31.1 mi) (maximum payload) 50 km (27 nm, 31.1 mi) (maximum payload) 100 km (54 nm, 62.1 mi) 100 km (54 nm, 62.1 mi)",,"6,000 m (19,685 ft)",,,,,,,,,4.5 m (14 ft 9 1/4 in) 4.5 m (14 ft 9 1/4 in),,,
Zonda,,,,,2 hr (typical),,,,,,350 mm (1 ft 1 3/4 in) (provisional figure) 350 mm (1 ft 1 3/4 in) (provisional figure),,,,1.20 m (3 ft 11 1/4 in) (provisional figure) 1.20 m (3 ft 11 1/4 in) (provisional figure),,15 kg (33 lb),,,,,,3 kg (6 lb 9 3/4 oz),,,,,,,"30 km (16.2 nm, 18.6 mi) (max) 30 km (16.2 nm, 18.6 mi) (max)",,,,,,,,,,,,,2.80 m (9 ft 2 1/4 in) (short span configuration) 2.80 m (9 ft 2 1/4 in) (short span configuration) 3.20 m (10 ft 6 in) (medium span configuration) 3.20 m (10 ft 6 in) (medium span configuration) 3.60 m (11 ft 9 3/4 in) (long span configuration) 3.60 m (11 ft 9 3/4 in) (long span configuration),
Zonda IIE,,,,,2 hr (typical),,,,,,470 mm (1 ft 6 1/2 in) 470 mm (1 ft 6 1/2 in),,,,1.7 m (5 ft 7 in) 1.7 m (5 ft 7 in),,15 kg (33 lb),,,,,,3 kg (6 lb 9 3/4 oz),,,,,,,"30 km (16.2 nm, 18.6 mi) (max) 30 km (16.2 nm, 18.6 mi) (max)",,,,,,,,,,,,,2.80 m (9 ft 2 1/4 in) (short span configuration) 2.80 m (9 ft 2 1/4 in) (short span configuration) 3.20 m (10 ft 6 in) (medium span configuration) 3.20 m (10 ft 6 in) (medium span configuration) 3.60 m (11 ft 9 3/4 in) (long span configuration) 3.60 m (11 ft 9 3/4 in) (long span configuration),
Zygo,,,,,2 hr 0 min (typical) 4 hr 0 min,,,,,,400 mm (1 ft 3 3/4 in) 400 mm (1 ft 3 3/4 in),,,,1.94 m (6 ft 4 1/2 in) 1.94 m (6 ft 4 1/2 in),"27 kt (50 km/h, 31.1 mph)",7.0 kg (15 lb),,,,"54 kt (100 km/h, 62.1 mph) 54 kt (100 km/h, 62.1 mph)",,2.5 kg (5 lb 8 1/4 oz),,"60 m (197 ft) (typical) 500 m (1,640 ft) (max)",,,,,"40 km (21.6 nm, 24.8 mi) 40 km (21.6 nm, 24.8 mi)",,"4,500 m (14,765 ft) (mean sea level)",,,,,,,,,,,3.00 m (9 ft 10 in) 3.00 m (9 ft 10 in),
